point,alpha,F,F_slip,F_yield,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L2,potential_H2,success,message
[-0.22493302 -0.47946449  0.37450339],0,0.006880211850989688,0.26581741599599107,0.006880211850989688,72.67218091672859,49.995647813649974,22.67653299245913,-0.4917788216566577,-0.11565364992200486,0.3444857164246839,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.2424534  -0.49885238  0.05870637],0,0.0072796400345534135,0.32235342421541496,0.0072796400345534135,68.6847148431307,49.998234032325065,18.686480828955077,-0.3,-0.05,0.4,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
[-0.08843889 -0.31808802  0.21679908],0,0.007405525058942094,0.33831237932131053,0.007405525058942094,67.51715725062668,49.91023403008921,17.606923239968978,-0.3180879798701913,-0.08843970517980809,0.2167990573183215,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.26840279 -0.44276004  0.37203435],0,0.006684163926705026,0.23816355541807283,0.006684163926705026,74.80367114423392,49.999302248788666,24.80436882142135,-0.4529273416387015,-0.05000164928024078,0.3542565860115595,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.31362936 -0.4450567   0.35901784],0,0.010000154331232145,1.2581886274083078,0.010000154331232145,23.640295514049484,49.99922835219457,-26.35893284525227,-0.44505669794452035,-0.3136293559289551,0.3590178384798994,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.20145544 -0.35182179  0.29233076],0,0.009792207611326948,0.6776924164820438,0.009792207611326948,51.06100890931815,49.99898603645775,1.0620228557328417,-0.35182176497568096,-0.2014555250460324,0.29233076740240166,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.09894414 -0.32474056  0.20739267],0,0.007424495818510781,0.34006302385913556,0.007424495818510781,67.34464024998688,49.86607093165469,17.47856933580395,-0.3247412601885693,-0.09894394845296625,0.20739291315460445,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.09941254 -0.30279922  0.19783975],0,0.007933265589700197,0.41165284123552237,0.007933265589700197,63.02574830021116,49.858567476474924,13.167180759406893,-0.3027992201796401,-0.0994125372981628,0.19783974926553233,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.32977894 -0.46731239  0.28359872],0,0.01000437779050979,1.260201149262875,0.01000437779050979,23.54891945716429,49.978120628527954,-26.42920116587321,-0.4673127814313914,-0.32977197830351745,0.2835992290318984,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.12263713 -0.39301074  0.19112882],0,0.006986723905491202,0.2721104774212408,0.006986723905491202,71.56429922238755,49.55191968984356,22.012379487664433,-0.39301070849514796,-0.1226370973524033,0.1911288995539938,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.25592276 -0.3590973   0.26445366],0,0.010002893531705899,1.0334416341668407,0.010002893531705899,33.05827497589,49.985536509482415,-16.927261567672417,-0.35909644465215934,-0.25591979330060893,0.264453393579087,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.30490006 -0.35464581  0.24006886],0,0.010010412948203474,1.3220253390925252,0.010010412948203474,21.054185394227062,49.9479893951215,-28.893804045317346,-0.3546460622433799,-0.30489967469442986,0.24006894354840097,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.3770783  -0.38467669  0.37728929],0,0.009999773382148648,1.3888321900946972,0.009999773382148648,18.428674277463386,50.00113307195128,-31.572458880455674,-0.3846542892671625,-0.37708436640897597,0.3772890564852193,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.17756652 -0.39331163  0.05552521],0,0.0072796400345534135,0.32235342421541496,0.0072796400345534135,68.6847148431307,49.998234032325065,18.686480828955077,-0.3,-0.05,0.4,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
[-0.10727556 -0.33865415  0.35102064],0,0.007285229151795698,0.3231809608554098,0.007285229151795698,68.63202101695238,50.000036625536765,18.63198432021498,-0.33865724301914607,-0.10728117451610625,0.35102083998013023,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.08428532 -0.34624443  0.18422462],0,0.00701912396671854,0.27714660399245183,0.00701912396671854,71.2339606301239,49.576859319019796,21.657101224715095,-0.3462446651802019,-0.08428580117172521,0.1842245925905593,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.13360374 -0.49776784  0.08447062],0,0.006878757531669784,0.24698756077250372,0.006878757531669784,72.68754534266776,49.038403810208415,23.649141536976206,-0.43482406131922685,-0.10699805445385982,0.18489502260188845,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.23286424 -0.45716614  0.33180773],0,0.00668494351584619,0.23811872505220644,0.00668494351584619,74.79494758495218,49.99110042663503,24.803847195391015,-0.4531886741383685,-0.050001227108779946,0.3103103540575777,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.18850132 -0.3148697   0.08137128],0,0.008677174669997359,0.510748114579901,0.008677174669997359,57.62244268945433,49.621765609930016,8.00067704995071,-0.3167360008585243,-0.14929812917685797,0.16568454213686495,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.13484174 -0.46758738  0.07013326],0,0.010103446036075674,0.762817648384779,0.010103446036075674,45.94327195980854,49.48806556685923,-3.5447936299068736,-0.4101200520806726,-0.22575790800139878,0.18324496865764292,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
