alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L2,potential_H2,slopeL_eff,slopeH_eff
0,0.00668373,0.238177547,0.00668373,74.80853327,50.00329217,24.80524088,-0.45681086,-0.05,0.401755863,0.20340543,-0.027527498
0.020408163,0.011407712,0.238140262,0.006684117,74.80419183,49.99841811,24.80577353,-0.455947031,-0.05,0.339274744,0.202973515,-0.058336143
0.040816327,0.014432968,0.107243453,0.010483586,47.69360436,27.4635309,20.23007346,-0.31997029,-0.05,0.05,0.134985145,-0.134985145
0.06122449,0.01634971,0.102601481,0.010724595,46.62180818,26.69332571,19.92848242,-0.327310619,-0.05,0.05,0.138655309,-0.138655309
0.081632653,0.018191643,0.099893473,0.010929259,45.74875721,26.10585818,19.64289906,-0.332672529,-0.05,0.05,0.141336265,-0.141336265
0.102040816,0.019986513,0.098165017,0.011102592,45.03452999,25.64325361,19.39127649,-0.336744981,-0.05,0.05,0.14337249,-0.14337249
0.12244898,0.02174854,0.09698766,0.011250058,44.44421395,25.27011922,19.17409468,-0.339932028,-0.05,0.05,0.144966014,-0.144966014
0.142857143,0.023485741,0.096014315,0.011397645,43.8687099,24.9127058,18.95600415,-0.342908236,-0.05,0.05,0.146454118,-0.146454118
0.163265306,0.025203671,0.095356127,0.011515387,43.4201638,24.63777169,18.78239204,-0.345147595,-0.05,0.05,0.147573798,-0.147573798
0.183673469,0.026905893,0.094657784,0.011661718,42.87533092,24.30744689,18.56788403,-0.347781117,-0.05,0.05,0.148890559,-0.148890559
0.204081633,0.028595223,0.094251427,0.011760298,42.51592818,24.09147314,18.42445508,-0.349465708,-0.05,0.05,0.149732854,-0.149732854
0.224489796,0.030273037,0.093810805,0.011880525,42.08568291,23.83456396,18.25111897,-0.351450238,-0.05,0.05,0.150725119,-0.150725119
0.244897959,0.031941702,0.093512288,0.011972863,41.76110716,23.64193051,18.11917667,-0.352907394,-0.05,0.05,0.151453697,-0.151453697
0.265306122,0.033601733,0.093253516,0.012060811,41.45658111,23.46194552,17.99463556,-0.354258926,-0.05,0.05,0.152129463,-0.152129463
0.285714286,0.035254578,0.092969604,0.012168568,41.08946861,23.24593286,17.84353577,-0.355854268,-0.05,0.05,0.152927134,-0.152927134
0.306122449,0.03690036,0.092755587,0.012258348,40.78853061,23.06950776,17.71902295,-0.357149592,-0.05,0.05,0.153574796,-0.153574796
0.326530612,0.038540593,0.092548874,0.01235476,40.47023152,22.88356609,17.58666548,-0.358491491,-0.05,0.05,0.154245745,-0.154245745
0.346938776,0.040175191,0.092380915,0.0124409,40.19001756,22.72034823,17.46966941,-0.359659745,-0.05,0.05,0.154829873,-0.154829873
0.367346939,0.041804677,0.092267936,0.012503429,39.98903019,22.60353077,17.3854995,-0.360491556,-0.05,0.05,0.155245778,-0.155245778
0.387755102,0.043429627,0.092098717,0.01260587,39.66406097,22.41509803,17.24896295,-0.361818738,-0.05,0.05,0.155909369,-0.155909369
0.408163265,0.045050361,0.091993087,0.012676068,39.44440918,22.28802143,17.15638778,-0.362704882,-0.05,0.05,0.156352441,-0.156352441
0.428571429,0.046666999,0.09186081,0.01277164,39.1492407,22.11757504,17.03166571,-0.363889368,-0.05,0.05,0.156944684,-0.156944684
