slopeL,slopeH,F_t,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1
-0.2,-0.2,0.081889587,2.333859191211917,0.012241043,31.36236017277983,9.483833571885704,-40.8461938,0.050001875
-0.2,-0.183333333,0.011694006,2.213430117695511,0.011694006,26.63775947,16.11918624923513,-42.75694576,0.050008041
-0.2,-0.183333333,0.077746052,2.213424589310066,0.011694138,26.63716026876243,16.119304653550138,-42.75646494,0.050001852
-0.2,0.083333333,0.009999404,1.4331228596134709,0.009999404,-16.69104571,50.00297937,-33.31193372,0.184321607
-0.2,0.066666667,0.052580416,1.4293622792502485,0.009999533,-16.83793836,50.002334036810915,-33.16439576,0.3755152481418438
-0.2,0.1,0.009999384,1.4395178504722026,0.009999384,-16.44111079,50.00307948477428,-33.56196874,0.1582911704474791
-0.2,0.1166666666666666,0.009999314,1.435817745859039,0.009999314,-16.58582649,50.003428138340006,-33.41760167,0.1702423181330983
-0.2,0.05,0.052580572,1.4293668840876852,0.009999552,-16.83772611,50.00223884102896,-33.1645128,0.3685870935151188
-0.2,0.1333333333333333,0.009999272,1.4311235552115738,0.009999272,-16.76946675,50.00363886027404,-33.23417213,0.2038882443529905
-0.2,0.1499999999999999,0.00999929,1.4298786728717034,0.00999929,-16.81814138,50.003549194360986,-33.18540784,0.2352257243838601
-0.2,0.033333333,0.052581019,1.4293790622067857,0.009999637,-16.83710732,50.00181636462903,-33.16470912,0.3488554795646936
-0.2,0.1666666666666666,0.00999929,1.4294992684251957,0.00999929,-16.83298712,50.00354934336806,-33.17056226,0.2684831849418104
-0.2,0.016666667,0.052582326,1.429412813722161,0.00999994,-16.83527582,50.00029924393995,-33.16502349,0.3388256225710372
-0.2,0.1833333333333333,0.009999254,1.4293969605763726,0.009999254,-16.83705221,50.003732722854735,-33.16668054,0.3008251858162597
-0.2,0.2,0.009999291,1.429368870514478,0.009999291,-16.83808753,50.00354298954469,-33.16545552,0.3312879115879529
-0.2,0,0.052586426,1.4295232694349465,0.01000075,-16.82959055,49.99624898981826,-33.1666585,0.3180880024898569
-0.2,-0.166666667,0.011559577,2.1583217897068243,0.011559577,23.835089300337188,19.41908772,-43.25417705,0.050008864
-0.2,-0.016666667,0.05260039,1.4298966919203886,0.010003597,-16.8101962,49.98202191820735,-33.17182578,0.300028247
-0.2,-0.15,0.011596214,2.0930575318583924,0.011596214,19.79896580612612,23.318554663818645,-43.11752047,0.050060776
-0.2,-0.133333333,0.011775256,1.9760485530861385,0.011775256,11.238344745961456,31.22357761675873,-42.46192239,0.05
-0.2,0.083333333,0.05258034,1.4293599251418343,0.009999528,-16.83803952,50.00236090919285,-33.16432146,0.3924700557909218
-0.2,-0.033333333,0.052649536,1.4312030702153848,0.01001386,-16.7419316,49.930795551837065,-33.18886402,0.2839918842915735
-0.2,0.066666667,0.009999435,1.4382548600910088,0.009999435,-16.4903757,50.00282633661603,-33.5124507,0.1618149511510222
-0.2,0.1,0.052580292,1.4293598178945046,0.009999481,-16.83812178,50.00259277,-33.16447104,0.3732127058028089
-0.2,-0.166666667,0.075962425,2.158315582611802,0.01155975,23.834370775211283,19.419158760330312,-43.25352949,0.05
-0.2,-0.133333333,0.070703455,1.9760485530861385,0.011775256,11.238344745961456,31.22357761675873,-42.46192239,0.05
-0.2,-0.116666667,0.067929927,1.8757717320527043,0.012017294,0.7439357087510956,40.86276896038097,-41.60670465,0.050001822
-0.2,0.2,0.052580226,1.429359327369211,0.009999429,-16.83822878,50.00285355653533,-33.16462481,0.3697382794364642
-0.2,-0.1,0.061766245,1.7122376464459403,0.010720738,-5.566119663,46.63858127,-41.07246164,0.050232772
-0.2,-0.083333333,0.055664959,1.511597056061057,0.010636131,-12.82317804,47.009574925320535,-34.18639694,0.2149075517887964
-0.2,0.1833333333333333,0.052580162,1.4293579208309106,0.009999407,-16.83832168,50.00296594483082,-33.16464432,0.3890018303521183
-0.2,-0.066666667,0.053453713,1.4526181324658982,0.010180586,-15.6462752,49.11308491348903,-33.4668098,0.2418171596162162
-0.2,-0.2,0.012241034,2.3338742152457663,0.012241034,31.363087055025034,9.483137028595603,-40.84622415,0.050009208
-0.2,0.1666666666666666,0.052580258,1.4293589461323652,0.009999474,-16.83816832,50.002629652550745,-33.16446139,0.3743529315520998
-0.2,-0.05,0.01003467,1.5649415658624253,0.01003467,-11.54286593,49.827250254710194,-38.28438439,0.076768806
-0.2,0.1499999999999999,0.052580337,1.429358755688952,0.009999562,-16.83802858,50.002192549162515,-33.16416403,0.3775336299950046
-0.2,-0.033333333,0.010011274,1.4816710366814678,0.010011274,-14.78180089,49.94369234723493,-35.16189149,0.1127130582331012
-0.2,-0.016666667,0.010002917,1.4449118220380253,0.010002917,-16.22472946,49.98542077470334,-33.76069138,0.1476255576130026
-0.2,0.1333333333333333,0.052580386,1.4293596864144034,0.009999583,-16.83795612,50.00208547864726,-33.16412945,0.3685870935151188
-0.2,0,0.010000418,1.4326827891002023,0.010000418,-16.70656227,49.997909489239625,-33.2913473,0.1885300615486928
-0.2,0.1166666666666666,0.052580296,1.429358776207978,0.009999519,-16.83809998,50.00240690058771,-33.16430702,0.3825965033573258
-0.2,0.016666667,0.009999727,1.430713766952609,0.009999727,-16.78473445,50.00136340249318,-33.21662902,0.2113508347474909
-0.2,0.033333333,0.009999531,1.429810835458461,0.009999531,-16.82039123,50.00234668918871,-33.18195553,0.239373649
-0.2,0.05,0.009999449,1.4294869353214317,0.009999449,-16.83320271,50.00275615388509,-33.16955351,0.2714665612309887
-0.2,-0.116666667,0.012017245,1.8757742621804705,0.012017245,0.7443073348245264,40.862566717587555,-41.60687408,0.050005111
-0.2,-0.15,0.074037327,2.092963625750859,0.011596307,19.79283102385375,23.324342385803227,-43.1171734,0.050000017
-0.2,-0.05,0.052824936,1.4358736065523328,0.010050235,-16.49962031,49.75008116821757,-33.25046094,0.2641791852218471
-0.2,-0.083333333,0.0102383,1.6550871614440232,0.0102383,-7.947104327,48.83623230294962,-40.88912803,0.050033779
-0.2,-0.066666667,0.010091576,1.627085590044895,0.010091576,-9.120052665,49.54627452650901,-40.42622193,0.05484653
-0.2,-0.1,0.010717749,1.7123388574962577,0.010717749,-5.564096716,46.65158759108716,-41.08749087,0.05
-0.183333333,0.016666667,0.010000148,1.430098011202099,0.010000148,-16.80811677,49.99925777034849,-33.19114118,0.2258454953748247
-0.183333333,0.2,0.052579267,1.429312587021763,0.009999885,-16.8392896,50.00057242475409,-33.161283,0.3732190613804365
-0.183333333,-0.1,0.010717717,1.7123100108730134,0.010717717,-5.565132009,46.65172465072946,-41.08659259,0.05
-0.183333333,-0.083333333,0.010238295,1.6551070610181076,0.010238295,-7.946368209,48.836254325538505,-40.88988612,0.050007368
-0.183333333,-0.183333333,0.077751523,2.2135837734196104,0.011694856,26.644152891561845,16.109688630093487,-42.75384145,0.05
-0.183333333,0.016666667,0.05258142,1.4293673637082558,0.010000411,-16.8362615,49.997944944476565,-33.16168364,0.332667829
-0.183333333,-0.016666667,0.052599441,1.4298484940655694,0.01000411,-16.81121936,49.979459309933624,-33.16824011,0.3029557371232649
-0.183333333,-0.15,0.074037584,2.0929633989403635,0.01159658,19.792351985726494,23.32380936730133,-43.1161613,0.050000017
-0.183333333,0.1166666666666666,0.009999852,1.4296129741318022,0.009999852,-16.827593,50.00074167335606,-33.17314882,0.2492167874575062
-0.183333333,-0.15,0.011596409,2.092997571508357,0.011596409,19.79481719677985,23.32197731983505,-43.11679449,0.050022116
-0.183333333,0.066666667,0.052579465,1.429316328,0.009999974,-16.83899399,50.00012928102444,-33.16113548,0.3671427377469453
-0.183333333,0.1166666666666666,0.052579449,1.4293125872343952,0.010000074,-16.83897232,49.99963034056432,-33.1606582,0.379205402
-0.183333333,-0.1,0.061765403,1.7122410206062944,0.010719765,-5.566505568,46.642813685852246,-41.07630808,0.050158398
-0.183333333,-0.016666667,0.010003389,1.4411533941035355,0.010003389,-16.37066379,49.98306185894775,-33.61239825,0.155219942
-0.183333333,0.1666666666666666,0.052579301,1.4293113161255984,0.00999996,-16.8392132,50.00019785725641,-33.16098485,0.3950102733387584
-0.183333333,-0.166666667,0.011559851,2.1583488217827105,0.011559851,23.836100412505985,19.417053105199948,-43.2531535,0.050002411
-0.183333333,0.083333333,0.009999863,1.431518425607205,0.009999863,-16.75303062,50.000686200483145,-33.24765576,0.1981469343102459
-0.183333333,0.1833333333333333,0.009999897,1.4293114120613668,0.009999897,-16.83931589,50.00051403567786,-33.16119829,0.3913713565449545
-0.183333333,-0.083333333,0.055663919,1.5115589380210368,0.010636238,-12.82443526,47.00910296877066,-34.18466788,0.2140276970867808
-0.183333333,-0.066666667,0.053452776,1.4525670038983285,0.010181202,-15.64728651,49.110113141220175,-33.46282681,0.2427924446054312
-0.183333333,0.1,0.009999839,1.4304006912233207,0.009999839,-16.7967957,50.00080699869008,-33.20401144,0.2163203512592448
-0.183333333,0.1833333333333333,0.052579225,1.4293114297435217,0.009999878,-16.83934682,50.000607874923816,-33.16126122,0.3909808495058551
-0.183333333,0,0.052585514,1.4294753410311665,0.010001292,-16.83055377,49.99353991676273,-33.16298632,0.3294105240522593
-0.183333333,0,0.010000871,1.4321905794165146,0.010000871,-16.72505432,49.99564603327672,-33.2705919,0.1924194279272469
-0.183333333,-0.066666667,0.010091683,1.628076936413896,0.010091683,-9.08247036,49.54574814440683,-40.46327786,0.054396486
-0.183333333,-0.05,0.052824002,1.4358240341252098,0.010050806,-16.50061137,49.747256145135616,-33.24664495,0.2658651598345756
-0.183333333,0.1333333333333333,0.052579455,1.4293120437236722,0.010000097,-16.83895482,49.99951522340663,-33.16056058,0.3843274068889576
-0.183333333,-0.183333333,0.011694629,2.2135899232832115,0.011694629,26.64500229760654,16.10966738094472,-42.75466965,0.050006873
-0.183333333,0.2,0.009999842,1.429310561695354,0.009999842,-16.83944227,50.00079042661096,-33.16134833,0.4234489940668451
-0.183333333,-0.033333333,0.052648539,1.4311564118644349,0.010014275,-16.74306002,49.928725235726674,-33.18566539,0.2842613631169645
-0.183333333,-0.2,0.081910905,2.3344942542300187,0.012243378,31.386105057966077,9.452296435832324,-40.83840149,0.050001875
-0.183333333,0.1499999999999999,0.052579423,1.4293120110582112,0.010000065,-16.83901043,49.99967655937409,-33.16066631,0.3825963375971805
-0.183333333,0.1499999999999999,0.009999834,1.4293312532093578,0.009999834,-16.83864563,50.00082903257179,-33.16218357,0.3175937005318751
