slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,F_sc,D_to_H1_flux,L1_to_D_flux,S_FAD_mid_pot
-0.2,-3.04410974649727e-07,9.52163456072186e-06,-1.4009553056082424e-05,1.799802685930867,-2.383559859145401e-05,7.693221441983e-08,1.9684265496080707e-10,7.673537176486919e-08,-0.36
-0.1999799979997999,-2.877746396734438e-07,9.520417635994203e-06,-1.3959019952380912e-05,1.8006463279814469,-2.376721222804856e-05,7.677295663180442e-08,1.9670177256755648e-10,7.657625485923687e-08,-0.3599599959996
-0.1999599959995999,-3.373426125108381e-07,9.553431291303704e-06,-1.39677815116368e-05,1.7989225487139386,-2.3858555415451344e-05,7.69076909288007e-08,1.9730763643148232e-10,7.671038329236921e-08,-0.3599199919991999
-0.1999399939993999,-3.7633230931533035e-07,9.577360203572027e-06,-1.3956411475612995e-05,1.7976318964344926,-2.3910103988500353e-05,7.69465665932747e-08,1.9768666753416689e-10,7.674887992574052e-08,-0.3598799879987999
-0.1999199919991999,-4.471551591223033e-07,9.592341070313593e-06,-1.394074462135464e-05,1.7950632063952896,-2.3980240850790535e-05,7.69525037551725e-08,1.9794221282357343e-10,7.675456154234892e-08,-0.3598399839983999
-0.1998999899989999,-4.899824972426359e-07,9.619459227477868e-06,-1.39254436677394e-05,1.7936733088334498,-2.4034885392459904e-05,7.697898890358939e-08,1.9832660836091476e-10,7.678066229522847e-08,-0.3597999799979998
-0.1998799879987998,-5.358542267686062e-07,9.647256788397618e-06,-1.390197257244985e-05,1.7922085454470342,-2.408508358761607e-05,7.69652902249163e-08,1.9865096909069484e-10,7.67666392558256e-08,-0.3597599759975998
-0.1998599859985998,-5.264307247898614e-07,9.65607377817479e-06,-1.3883057795149869e-05,1.792716290213748,-2.406556229811452e-05,7.694504452004082e-08,1.9881597707572755e-10,7.674622854296508e-08,-0.3597199719971997
-0.1998399839983998,-5.69353915125248e-07,9.667434328675116e-06,-1.385075911164435e-05,1.791276013674221,-2.4087547355444716e-05,7.687842272687013e-08,1.9892505833910464e-10,7.667949766853102e-08,-0.3596799679967997
-0.1998199819981998,-6.106032373054404e-07,9.694092532624987e-06,-1.3835134888173783e-05,1.789959334921543,-2.413983065810421e-05,7.688917264825882e-08,1.9928102471688177e-10,7.668989162354195e-08,-0.3596399639963997
-0.1997999799979998,-6.854169072312288e-07,9.730552556430627e-06,-1.3849308742486244e-05,1.7873205755246369,-2.42652782061481e-05,7.704069337897374e-08,1.9994529141948988e-10,7.684074808755425e-08,-0.3595999599959996
-0.1997799779977997,-7.413778178033681e-07,9.757836753637728e-06,-1.3848185520748402e-05,1.7854038906832292,-2.4347400092189497e-05,7.71211541682704e-08,2.0042153880432878e-10,7.692073262946606e-08,-0.3595599559955996
-0.1997599759975997,-7.696290253988991e-07,9.779998969200454e-06,-1.3821051245699325e-05,1.78461053578511,-2.4370679240298676e-05,7.711137523286433e-08,2.0070956276291102e-10,7.691066567010143e-08,-0.3595199519951995
-0.1997399739973997,-8.117648206962258e-07,9.796671361111953e-06,-1.3784894865587203e-05,1.7832774739843091,-2.4393331047395383e-05,7.70282454087739e-08,2.0083398033503063e-10,7.682741142843887e-08,-0.3594799479947995
-0.1997199719971997,-8.554487891387907e-07,9.812864937092105e-06,-1.3753272146921349e-05,1.781866660232046,-2.442158587315224e-05,7.696081052033576e-08,2.0098042394762047e-10,7.675983009638814e-08,-0.3594399439943995
-0.1996999699969997,-8.861459406261929e-07,9.841739590038534e-06,-1.3754072335281364e-05,1.780942833452536,-2.448195786594609e-05,7.705849220849999e-08,2.014988876513023e-10,7.685699332084868e-08,-0.3593999399939994
-0.1996799679967996,-9.222623589266732e-07,9.857709546257087e-06,-1.3733618451139408e-05,1.77978376479143,-2.4513590356323167e-05,7.70468989154567e-08,2.0173606914205128e-10,7.684516284631465e-08,-0.3593599359935994
-0.1996599659965996,-9.666073736980252e-07,9.874806151305426e-06,-1.3703769398132335e-05,1.778359842865284,-2.454518292313579e-05,7.697812251255457e-08,2.0188763937814058e-10,7.677623487317643e-08,-0.3593199319931993
-0.1996399639963996,-1.008579232575357e-06,9.918059483193796e-06,-1.3721508831388007e-05,1.7770876535427833,-2.464814754715716e-05,7.716888330599635e-08,2.0267428215153854e-10,7.696620902384483e-08,-0.3592799279927993
-0.1996199619961996,-1.051709787702748e-06,9.920489454529058e-06,-1.3645907958048651e-05,1.7757599152003365,-2.461810720028046e-05,7.69047701945821e-08,2.0238754928699175e-10,7.670238264529511e-08,-0.3592399239923993
-0.1995999599959996,-1.0818428819447945e-06,9.948826329042593e-06,-1.3671113137991853e-05,1.7747828947973818,-2.470178234897924e-05,7.709868550485477e-08,2.0306323874872655e-10,7.689562226610606e-08,-0.3591999199919992
-0.1995799579957995,-1.1355790121569953e-06,9.958777555302278e-06,-1.3640875209386394e-05,1.772953870308354,-2.4735231776845668e-05,7.703838704243645e-08,2.0317329083827528e-10,7.683521375159816e-08,-0.3591599159915992
-0.1995599559955995,-1.1653234111008717e-06,9.977779566072709e-06,-1.3583442762810094e-05,1.7722290416872717,-2.472654573998367e-05,7.687181323250273e-08,2.0317800255162748e-10,7.666863522995111e-08,-0.3591199119911991
-0.1995399539953995,-1.2014813677296845e-06,1.0002930872082816e-05,-1.3571720238303442e-05,1.771149251107048,-2.4776132478115945e-05,7.690788301231255e-08,2.0356765852115724e-10,7.67043153537914e-08,-0.3590799079907991
-0.1995199519951995,-1.2514846901012788e-06,1.0025517620637636e-05,-1.354799632236059e-05,1.769571894441103,-2.4824998633099504e-05,7.688580706391609e-08,2.038407531239795e-10,7.668196631079213e-08,-0.3590399039903991
-0.1994999499949995,-1.2819115369211431e-06,1.0041771691865486e-05,-1.3534979203200235e-05,1.7686350291006476,-2.4858662431986867e-05,7.691407894082857e-08,2.041480944556003e-10,7.670993084637296e-08,-0.358999899989999
-0.1994799479947994,-1.3274329973000931e-06,1.0081762014224616e-05,-1.3553821710310388e-05,1.7672492468065062,-2.4963016721835096e-05,7.709422339900799e-08,2.04895808294829e-10,7.688932759071314e-08,-0.358959895989599
-0.1994599459945994,-1.371101603808711e-06,1.01035098081792e-05,-1.3512862006903603e-05,1.7659886204431965,-2.4987473418891515e-05,7.701580998089258e-08,2.0506912969875467e-10,7.681074085119383e-08,-0.3589198919891989
-0.1994399439943994,-1.4330871778156506e-06,1.0128729534153448e-05,-1.3505655103385196e-05,1.7639501427821804,-2.5067471815354292e-05,7.705955374130146e-08,2.0547390135136576e-10,7.68540798399501e-08,-0.3588798879887989
-0.1994199419941994,-1.4495658007263046e-06,1.0135135890432244e-05,-1.346173925487193e-05,1.763571613131895,-2.504644094603048e-05,7.69328560261114e-08,2.0544577994779952e-10,7.67274102461636e-08,-0.3588398839883989
-0.1993999399939994,-1.4881731402738296e-06,1.0168586116993115e-05,-1.3472860339813764e-05,1.7624363924209858,-2.512961959708071e-05,7.708955026265465e-08,2.0610496241869608e-10,7.688344530023595e-08,-0.3587998799879988
-0.1993799379937993,-1.529740714545369e-06,1.0174714357463754e-05,-1.3416570120883264e-05,1.761169335652981,-2.5121025192892388e-05,7.690199795845833e-08,2.0597274732781869e-10,7.66960252111305e-08,-0.3587598759875988
-0.1993599359935993,-1.566065066072042e-06,1.0186429401481956e-05,-1.3394558308288396e-05,1.7600252595167876,-2.5147052775842393e-05,7.687187195130393e-08,2.061482037415374e-10,7.666572374756238e-08,-0.3587198719871987
-0.1993399339933993,-1.6119773533773696e-06,1.0222703227424912e-05,-1.3376000721487811e-05,1.7587864549787235,-2.5210681302290094e-05,7.689738100446555e-08,2.066106736333133e-10,7.669077033083224e-08,-0.3586798679867987
-0.1993199319931993,-1.64936317048614e-06,1.02492659110609e-05,-1.3382663884398129e-05,1.7576630582817598,-2.5281292965945168e-05,7.702779609519187e-08,2.0717333536573177e-10,7.682062275982614e-08,-0.3586398639863987
-0.1992999299929993,-1.6944688638886871e-06,1.0265240344614623e-05,-1.335008555169992e-05,1.7562973667934545,-2.530979476020323e-05,7.695688250520356e-08,2.0731442298137632e-10,7.674956808222219e-08,-0.3585998599859986
-0.1992799279927992,-1.7643030929548331e-06,1.0308265933983709e-05,-1.3352721619286356e-05,1.7541892334030451,-2.5425290646224896e-05,7.708717104132269e-08,2.0800774075477918e-10,7.687916330056791e-08,-0.3585598559855986
-0.1992599259925992,-1.8072474574637456e-06,1.03223204892533e-05,-1.3360048722876884e-05,1.752734586179646,-2.548961666959393e-05,7.718295214377219e-08,2.084151045667151e-10,7.697453703920549e-08,-0.3585198519851985
-0.1992399239923992,-1.817255323999234e-06,1.0338923771335828e-05,-1.3303709438305944e-05,1.7527902058116422,-2.5459888533641006e-05,7.703065723816378e-08,2.0842421126929663e-10,7.682223302689448e-08,-0.3584798479847985
-0.1992199219921992,-1.8596513484681056e-06,1.0361278453580036e-05,-1.3281165130774042e-05,1.7515837819058269,-2.5502094932822184e-05,7.701643719991476e-08,2.0871183678090918e-10,7.680772536313384e-08,-0.3584398439843985
-0.1991999199919992,-1.927266367829361e-06,1.0389607580152392e-05,-1.3250037299572526e-05,1.7495636964757302,-2.556691124755428e-05,7.696646101273398e-08,2.0898633054936643e-10,7.675747468218463e-08,-0.3583998399839984
-0.1991799179917991,-1.985786369118614e-06,1.042609594037458e-05,-1.3286907697640515e-05,1.7477059085939883,-2.569879000713371e-05,7.72322318166035e-08,2.0985984360298551e-10,7.702237197300053e-08,-0.3583598359835984
-0.1991599159915991,-1.9907028843135777e-06,1.0427555640790676e-05,-1.3210359710136288e-05,1.7478686232664462,-2.562861823524054e-05,7.695621086687363e-08,2.0953987029898996e-10,7.674667099657464e-08,-0.3583198319831984
