slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,F_sc,D_to_H1_flux,L1_to_D_flux,S_FAD_mid_pot
-0.2,-0.0005035482576971,0.0002646243639974,0.0002389229686512,0.0360911405595355,-0.0010070955903458,1.338166953506495e-07,1.9181456395622606e-09,1.3189854971108724e-07,-0.36
-0.1999799979997999,-0.0005044059345351,0.0002650569288634,0.0002393493453514,0.0360384471836849,-0.00100881220875,1.3385717715677194e-07,1.9209192456695294e-09,1.319362579111024e-07,-0.3599599959996
-0.1999599959995999,-0.0005053002589505,0.0002655073035915,0.0002397925866775,0.0359846455369355,-0.0010106001492195,1.339071138123458e-07,1.9238283848999493e-09,1.3198328542744586e-07,-0.3599199919991999
-0.1999399939993999,-0.000506203447685,0.0002659621078481,0.0002402399922907,0.0359307753538238,-0.0010124055478239,1.3395898342389656e-07,1.9267689472559454e-09,1.3203221447664064e-07,-0.3598799879987999
-0.1999199919991999,-0.0005070667714193,0.0002663972210224,0.0002406690632863,0.0358780259944366,-0.0010141330557281,1.340001504393663e-07,1.929561354919136e-09,1.3207058908444718e-07,-0.3598399839983999
-0.1998999899989999,-0.0005079466983772,0.0002668408031721,0.0002411058352678,0.0358253540715592,-0.0010158933368172,1.340453445437897e-07,1.9324147296803403e-09,1.3211292981410938e-07,-0.3597999799979998
-0.1998799879987998,-0.0005088401058515,0.0002672903316223,0.0002415489391889,0.0357713807287432,-0.0010176793766628,1.340938739870053e-07,1.935316780798415e-09,1.3215855720620688e-07,-0.3597599759975998
-0.1998599859985998,-0.0005097234659956,0.0002677352704606,0.0002419872375205,0.0357186002240841,-0.0010194459739768,1.341393327393247e-07,1.9381799820157216e-09,1.32201152757309e-07,-0.3597199719971997
-0.1998399839983998,-0.0005105899520714,0.0002681723498321,0.0002424181405904,0.0356665381466655,-0.0010211804424939,1.3418017133809382e-07,1.9409818248327782e-09,1.3223918951326104e-07,-0.3596799679967997
-0.1998199819981998,-0.0005115016898287,0.0002686305728287,0.000242869729822,0.0356121341683794,-0.0010230019924794,1.342327259448887e-07,1.9439498878732663e-09,1.322887760570154e-07,-0.3596399639963997
-0.1997999799979998,-0.0005123857829971,0.0002690762452415,0.0002433084347241,0.0355603027533016,-0.0010247704629629,1.3427728235480338e-07,1.946812313342394e-09,1.3233047004146097e-07,-0.3595999599959996
-0.1997799779977997,-0.0005132578862259,0.0002695152905883,0.0002437419429768,0.0355075087298175,-0.001026515119791,1.3431888406726924e-07,1.9496321301969312e-09,1.3236925193707228e-07,-0.3595599559955996
-0.1997599759975997,-0.0005141537333201,0.0002699669120805,0.0002441866051554,0.0354552124531133,-0.0010283072505561,1.343662221486827e-07,1.9525401550851243e-09,1.3241368199359756e-07,-0.3595199519951995
-0.1997399739973997,-0.0005150493342114,0.0002704184645248,0.0002446311533281,0.0354031767553701,-0.0010300989520644,1.3441323264003953e-07,1.955446412375316e-09,1.3245778622766424e-07,-0.3594799479947995
-0.1997199719971997,-0.00051593543985,0.0002708640376388,0.0002450712726786,0.0353498472878721,-0.0010318707501676,1.3445769338094322e-07,1.9583161600387432e-09,1.3249937722090446e-07,-0.3594399439943995
-0.1996999699969997,-0.0005168450954613,0.0002713224551839,0.0002455221639008,0.0352979279210815,-0.001033689714546,1.3450752821608553e-07,1.9612707650225032e-09,1.3254625745106302e-07,-0.3593999399939994
-0.1996799679967996,-0.0005177491832029,0.000271778403799,0.0002459709585047,0.0352460615393789,-0.0010354985455067,1.3455595411426548e-07,1.964207720132009e-09,1.3259174639413346e-07,-0.3593599359935994
-0.1996599659965996,-0.0005186204059555,0.0002722163382564,0.0002464039037237,0.03519365471894,-0.0010372406479357,1.3459538665758333e-07,1.9670161092182084e-09,1.3262837054836514e-07,-0.3593199319931993
-0.1996399639963996,-0.0005195371589508,0.0002726781521051,0.000246858566453,0.0351412864126347,-0.0010390738775089,1.3464647345966598e-07,1.969997456880672e-09,1.3267647600278528e-07,-0.3592799279927993
-0.1996199619961996,-0.0005204471404596,0.0002731370479745,0.0002473101445967,0.0350897854859547,-0.0010408943330309,1.3469543720961757e-07,1.9729530628546428e-09,1.327224841467629e-07,-0.3592399239923993
-0.1995999599959996,-0.000521328153539,0.0002735805666783,0.000247748200026,0.0350378960259885,-0.0010426569202434,1.3473677489928418e-07,1.975799632396974e-09,1.327609752668872e-07,-0.3591999199919992
-0.1995799579957995,-0.0005222433326252,0.0002740415406335,0.0002482020118979,0.0349861929312666,-0.0010444868851567,1.347863711718781e-07,1.978770322702054e-09,1.32807600849176e-07,-0.3591599159915992
-0.1995599559955995,-0.0005231562223286,0.0002745018242503,0.0002486551690248,0.034934775520257,-0.0010463132156038,1.3483528962938666e-07,1.9817349168996732e-09,1.3285355471248698e-07,-0.3591199119911991
-0.1995399539953995,-0.0005240290211929,0.0002749411340602,0.0002490893070838,0.0348835683699949,-0.0010480594623371,1.3487349862677233e-07,1.9845464690412703e-09,1.328889521577311e-07,-0.3590799079907991
-0.1995199519951995,-0.0005249899476069,0.000275424298618,0.0002495645280553,0.0348304176591049,-0.0010499787742803,1.3493405878501185e-07,1.987685346925354e-09,1.329463734380865e-07,-0.3590399039903991
-0.1994999499949995,-0.0005259037303346,0.0002758850823574,0.000250018159013,0.0347795154387983,-0.0010518069717051,1.3498225174256678e-07,1.9906503596572928e-09,1.3299160138290946e-07,-0.358999899989999
-0.1994799479947994,-0.0005267991353434,0.0002763359217878,0.0002504631315336,0.0347282753702512,-0.0010535981886649,1.350254780171572e-07,1.9935449617879686e-09,1.330319330553692e-07,-0.358959895989599
-0.1994599459945994,-0.0005277030313664,0.0002767909146342,0.0002509122908662,0.0346766064752614,-0.0010554062368668,1.35070732770518e-07,1.996471483519534e-09,1.3307426128699846e-07,-0.3589198919891989
-0.1994399439943994,-0.0005286170173945,0.0002772513272793,0.0002513659553977,0.034625676793682,-0.0010572343000716,1.3511802115285546e-07,1.999433253605632e-09,1.331185878992498e-07,-0.3588798879887989
-0.1994199419941994,-0.0005295398575242,0.0002777157210003,0.0002518238975279,0.0345739488637504,-0.0010590794760525,1.351674577675948e-07,2.0024278160164515e-09,1.3316502995157837e-07,-0.3588398839883989
-0.1993999399939994,-0.0005304671638839,0.0002781830856022,0.0002522840082317,0.03452317972165,-0.0010609342577178,1.352176100608711e-07,2.0054390215377704e-09,1.332121710393333e-07,-0.3587998799879988
-0.1993799379937993,-0.0005313746218433,0.0002786397406029,0.0002527346626208,0.0344722076590454,-0.0010627490250672,1.352624018872794e-07,2.008373404298528e-09,1.332540284829809e-07,-0.3587598759875988
-0.1993599359935993,-0.0005323115334903,0.000279111443157,0.0002531992846401,0.0344209393532511,-0.0010646222612875,1.3531448723398725e-07,2.011418064457762e-09,1.3330306916952949e-07,-0.3587198719871987
-0.1993399339933993,-0.0005332179460992,0.0002795677946006,0.0002536498184522,0.0343701423118726,-0.0010664355591521,1.3535860933363897e-07,2.014349175959667e-09,1.333442601576793e-07,-0.3586798679867987
-0.1993199319931993,-0.0005341333490207,0.0002800290084604,0.0002541044414425,0.0343199636783961,-0.0010682667989238,1.3540447897265656e-07,2.0173113502645695e-09,1.3338716762239197e-07,-0.3586398639863987
-0.1992999299929993,-0.0005350669901673,0.0002804992274576,0.0002545676100027,0.0342693959574619,-0.0010701338276277,1.3545476715341926e-07,2.02034103628857e-09,1.334344261171307e-07,-0.3585998599859986
-0.1992799279927992,-0.0005359816186967,0.0002809597141644,0.0002550221286365,0.0342187903003311,-0.0010719634614977,1.355001504892825e-07,2.023300869675501e-09,1.33476849619607e-07,-0.3585598559855986
-0.1992599259925992,-0.0005369319061543,0.0002814382588516,0.0002554931222176,0.0341681726234431,-0.0010738632872236,1.3555394305437293e-07,2.026389878743628e-09,1.3352755317562929e-07,-0.3585198519851985
-0.1992399239923992,-0.0005378247137883,0.0002818878255576,0.0002559376528661,0.0341180734553307,-0.0010756501922122,1.355933240992218e-07,2.029267817452978e-09,1.3356405628176885e-07,-0.3584798479847985
-0.1992199219921992,-0.0005387884516494,0.0002823728794867,0.0002564150430748,0.0340671038873404,-0.001077576374211,1.3565004069594356e-07,2.032406284177044e-09,1.3361763441176653e-07,-0.3584398439843985
-0.1991999199919992,-0.0005397212537587,0.0002828425413064,0.0002568781284792,0.0340168415758819,-0.0010794419235445,1.3569866893635097e-07,2.035428684005718e-09,1.3366324025234524e-07,-0.3583998399839984
-0.1991799179917991,-0.0005406400189684,0.0002833051951056,0.0002573345647305,0.0339671652236812,-0.0010812797788046,1.35743475234006e-07,2.038398203005038e-09,1.3370507703100096e-07,-0.3583598359835984
-0.1991599159915991,-0.0005415644083797,0.0002837711358015,0.0002577941470256,0.0339174891193332,-0.0010831296912068,1.3578953088690945e-07,2.041390214748326e-09,1.337481406721611e-07,-0.3583198319831984
-0.1991399139913991,-0.0005425209492244,0.0002842526925194,0.0002582683307839,0.0338672975013444,-0.0010850419725278,1.358431752534706e-07,2.0444983825649183e-09,1.3379867687090568e-07,-0.3582798279827983
-0.1991199119911991,-0.0005434782637223,0.0002847343844312,0.0002587431690088,0.033816558839811,-0.0010869558171625,1.3589700250787264e-07,2.0476105690634603e-09,1.338493919388092e-07,-0.3582398239823983
-0.1990999099909991,-0.0005444101079916,0.0002852033307727,0.0002592058949562,0.0337667557969206,-0.0010888193337206,1.3594387762392274e-07,2.050624540728979e-09,1.3389325308319376e-07,-0.3581998199819982
-0.199079907990799,-0.000545349798088,0.0002856768309655,0.0002596724704919,0.0337175510087562,-0.0010906990995455,1.3599240358440596e-07,2.053668033170983e-09,1.3393873555123497e-07,-0.3581598159815982
-0.199059905990599,-0.0005462890606082,0.0002861492639724,0.0002601391919321,0.0336669716639149,-0.0010925775165128,1.3604096573146806e-07,2.0567121157381504e-09,1.339842536157299e-07,-0.3581198119811982
-0.199039903990399,-0.0005472300014872,0.0002866230530919,0.0002606062775023,0.0336177446413771,-0.0010944593320815,1.3608924269940077e-07,2.059758113125298e-09,1.340294845862755e-07,-0.3580798079807981
-0.199019901990199,-0.0005481680120453,0.0002870954964669,0.0002610723169549,0.0335684795485732,-0.0010963358254672,1.3613665565021493e-07,2.062794267217265e-09,1.3407386138299766e-07,-0.3580398039803981
-0.198999899989999,-0.0005491078720893,0.000287568512229,0.0002615390092632,0.0335191662607597,-0.0010982153935817,1.361840952000622e-07,2.0658342501570222e-09,1.3411826094990518e-07,-0.357999799979998
-0.1989798979897989,-0.0005500600754402,0.0002880481634926,0.0002620119792557,0.033469730402537,-0.0011001202181886,1.3623457231914114e-07,2.068923258627264e-09,1.341656490605139e-07,-0.357959795979598
-0.1989598959895989,-0.0005510235999111,0.0002885337622199,0.0002624901118253,0.0334207859787615,-0.0011020474739563,1.3628735636517258e-07,2.0720518287747972e-09,1.3421530453639778e-07,-0.357919791979198
-0.1989398939893989,-0.0005519641148339,0.0002890068335802,0.0002629572863697,0.0333713931474421,-0.0011039282347838,1.3633421906202908e-07,2.0750926586824803e-09,1.342591264033466e-07,-0.3578797879787979
-0.1989198919891989,-0.0005529381086688,0.0002894967104552,0.0002634400229142,0.0333217410634531,-0.0011058748420383,1.363888923267829e-07,2.0782553203875015e-09,1.343106370063954e-07,-0.3578397839783979
-0.1988998899889989,-0.0005538666324582,0.0002899645841986,0.0002639017657428,0.0332737063184238,-0.0011077329823997,1.364320996498047e-07,2.081250653359432e-09,1.3435084899644526e-07,-0.3577997799779978
-0.1988798879887988,-0.0005548282933034,0.0002904488672432,0.0002643795215624,0.0332243530738927,-0.0011096566821091,1.3648355806615045e-07,2.0843713269761878e-09,1.3439918673917428e-07,-0.3577597759775978
-0.1988598859885988,-0.0005557855655951,0.00029093053067,0.0002648547410477,0.0331753266174333,-0.0011115708373128,1.365334150964201e-07,2.0874717533289526e-09,1.3444594334309116e-07,-0.3577197719771978
-0.1988398839883988,-0.0005567324728588,0.0002914067885982,0.0002653251002622,0.033126393000014,-0.0011134643617192,1.3658034510287054e-07,2.0905315862755453e-09,1.3448981351659498e-07,-0.3576797679767977
