slopeH,NADPH_flux,NAD_flux,Fd_flux,F_yield,F_sc,D_to_H1_flux,L1_to_D_flux,FeS_H1_pot,S_FAD_mid_pot
-0.2,-0.001735606233467,0.0009876884943953,0.0007479342367817,-0.0034712289646441,7.177346005708807e-06,7.033957414618022e-06,1.43388591090785e-07,-0.16,-0.36
-0.1999799979997999,-0.0017429876003802,0.0009917592256688,0.0007512054856253,-0.0034859523116745,7.200450918294819e-06,7.056581551271839e-06,1.4386936702297996e-07,-0.1599799979997999,-0.3599599959996
-0.1999599959995999,-0.0017379906136198,0.0009888417246595,0.00074919373683,-0.0034760260751094,7.1727226072080655e-06,7.029388545797368e-06,1.4333406141069725e-07,-0.1599599959995999,-0.3599199919991999
-0.1999399939993999,-0.0017448169354565,0.0009926065569531,0.0007522384156117,-0.0034896619080215,7.193555590545206e-06,7.049786070882099e-06,1.4376951966310768e-07,-0.1599399939993999,-0.3598799879987999
-0.1999199919991999,-0.0017461421692956,0.0009932421869563,0.0007529155647341,-0.0034922999209861,7.191634603305347e-06,7.047884669755922e-06,1.4374993354942516e-07,-0.1599199919991999,-0.3598399839983999
-0.1998999899989999,-0.0017500531153729,0.0009953567358529,0.0007547078904259,-0.0035001177416518,7.200446137783084e-06,7.0565010482143846e-06,1.439450895686996e-07,-0.1598999899989999,-0.3597999799979998
-0.1998799879987998,-0.0017534694840151,0.000997181025638,0.0007562880774441,-0.0035069385870972,7.207140270679558e-06,7.063042308996992e-06,1.44097961682566e-07,-0.1598799879987998,-0.3597599759975998
-0.1998599859985998,-0.0017504559195344,0.0009953627431677,0.000755105081462,-0.0035009237441642,7.187463706284919e-06,7.043740445517288e-06,1.437232607676305e-07,-0.1598599859985998,-0.3597199719971997
-0.1998399839983998,-0.0017557915564907,0.0009983007862877,0.000757522731799,-0.0035116150745775,7.202177562432244e-06,7.058141040707346e-06,1.4403652172489804e-07,-0.1598399839983998,-0.3596799679967997
-0.1998199819981998,-0.0017585215929329,0.0009997220356465,0.0007587952905592,-0.0035170389191387,7.205946231400362e-06,7.061815342503402e-06,1.4413088889696072e-07,-0.1598199819981998,-0.3596399639963997
-0.1997999799979998,-0.0017561797338032,0.0009983021895423,0.0007579167425901,-0.0035123986659358,7.189191449662925e-06,7.045376925889163e-06,1.438145237737617e-07,-0.1597999799979998,-0.3595999599959996
-0.1997799779977997,-0.0017616533629336,0.001001291529636,0.0007603742683257,-0.0035233191608954,7.204255966201347e-06,7.06012102982353e-06,1.4413493637781705e-07,-0.1597799779977997,-0.3595599559955996
-0.1997599759975997,-0.0017690226442255,0.0010053403472488,0.0007636453571011,-0.0035380083485755,7.22689339161776e-06,7.082286505515796e-06,1.446068861019642e-07,-0.1597599759975997,-0.3595199519951995
-0.1997399739973997,-0.001767605985492,0.0010044473024306,0.0007631586099901,-0.0035352118979128,7.2139430069519075e-06,7.069576477021568e-06,1.4436652993033938e-07,-0.1597399739973997,-0.3594799479947995
-0.1997199719971997,-0.0017711493325123,0.001006361751933,0.0007648080672979,-0.0035423191517433,7.221189722628528e-06,7.076659216507599e-06,1.445305061209296e-07,-0.1597199719971997,-0.3594399439943995
-0.1996999699969997,-0.0017743110514487,0.0010080604285286,0.0007662894275763,-0.0035486609075538,7.22691009546885e-06,7.082245983678044e-06,1.4466411179080564e-07,-0.1596999699969997,-0.3593999399939994
-0.1996799679967996,-0.0017779978440302,0.0010100114916036,0.0007679680988672,-0.0035559774345011,7.23438496510129e-06,7.089552298360647e-06,1.4483266674064266e-07,-0.1596799679967996,-0.3593599359935994
-0.1996599659965996,-0.0017796262913236,0.0010108386335339,0.0007687936572282,-0.0035592585820859,7.233814251943544e-06,7.088974025428833e-06,1.4484022651471134e-07,-0.1596599659965996,-0.3593199319931993
