slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,slopeH_rounded
-0.156948195,-0.000541364,0.000253872,0.000253875,0.043908372,953.1881243031507,-0.156948
-0.156940194,-0.000541314,0.000253792,0.000253857,0.04397615,953.3229251522832,-0.15694
-0.156932193,-0.000541293,0.000253737,0.000253852,0.044029528,953.3966820674194,-0.156932
-0.156924192,-0.00054124,0.000253611,0.000253835,0.044150933,953.5747359132356,-0.156924
-0.156916192,-0.000541274,0.000253514,0.000253844,0.044309541,953.6239832274538,-0.156916
-0.156908191,-0.000541225,0.000253513,0.000253835,0.044262618,953.6770370778196,-0.156908
-0.15690019,-0.000541199,0.000253354,0.000253816,0.044465591,953.8625758679726,-0.1569
-0.156892189,-0.000541149,0.000253105,0.000253788,0.044770491,954.1602542216506,-0.156892
-0.156884188,-0.000541128,0.000252997,0.000253782,0.044896509,954.2832726,-0.156884
-0.156876188,-0.000541068,0.000252912,0.000253751,0.044976322,954.4428011519695,-0.156876
-0.156868187,-0.000541186,0.000252833,0.00025381,0.045151354,954.3546853852722,-0.156868
-0.156860186,-0.000541049,0.000252871,0.000253757,0.045000417,954.4934454743304,-0.15686
-0.156852185,-0.000540971,0.000252763,0.000253719,0.045097822,954.6969591,-0.156852
-0.156844184,-0.000540995,0.00025248,0.000253717,0.045511463,954.9355704805482,-0.156844
-0.156836184,-0.00054101,0.000252472,0.000253733,0.045520013,954.9136713,-0.156836
-0.156828183,-0.000540895,0.000252368,0.000253678,0.045590302,955.1635246108476,-0.156828
-0.156820182,-0.000540862,0.000252196,0.000253663,0.045801839,955.3636721378112,-0.15682
-0.156812181,-0.000540917,0.000252168,0.000253691,0.045872077,955.3144721304168,-0.156812
-0.15680418,-0.000540822,0.000252021,0.00025365,0.04600805,955.5733451,-0.156804
-0.15679618,-0.000540806,0.000252012,0.000253653,0.045998018,955.5926383691414,-0.156796
-0.156788179,-0.0005407,0.000251823,0.000253597,0.046196247,955.9137760015532,-0.156788
-0.156780178,-0.0005407,0.000251728,0.000253593,0.046330949,956.0040034545384,-0.15678
-0.156772177,-0.00054053,0.000251661,0.000253528,0.046297516,956.2802483,-0.156772
-0.156764176,-0.000540513,0.000251599,0.00025352,0.046370318,956.3594650875104,-0.156764
-0.156756176,-0.000540466,0.000251454,0.000253494,0.046545541,956.5580277736184,-0.156756
-0.156748175,-0.000540394,0.000251352,0.000253462,0.04663868,956.7470981013738,-0.156748
-0.156740174,-0.000540476,0.000251114,0.00025349,0.04703313,956.8645502164431,-0.15674
-0.156732173,-0.000540542,0.00025105,0.000253526,0.047159771,956.8293495,-0.156732
-0.156724172,-0.000540419,0.000251106,0.000253474,0.046995098,956.9377616379784,-0.156724
-0.156716172,-0.00054033,0.000250843,0.000253427,0.047310301,957.303683,-0.156716
-0.156708171,-0.000540272,0.00025074,0.000253408,0.047408243,957.4692965629404,-0.156708
-0.15670017,-0.000540159,0.000250697,0.000253357,0.047391399,957.6583404424738,-0.1567
-0.156692169,-0.000540216,0.000250614,0.000253382,0.047547355,957.6594945976306,-0.156692
-0.156684168,-0.000540241,0.000250505,0.000253398,0.047711684,957.7216658355036,-0.156684
-0.156676168,-0.000540251,0.000250483,0.000253408,0.047742595,957.7237288649942,-0.156676
-0.156668167,-0.000540118,0.000250327,0.000253352,0.047869756,958.0410646,-0.156668
-0.156660166,-0.000540114,0.00025019,0.000253343,0.048068018,958.1784105,-0.15666
-0.156652165,-0.000540094,0.000250151,0.000253345,0.048098364,958.2313654066102,-0.156652
-0.156644164,-0.000539827,0.000249999,0.000253219,0.048138475,958.7309391285831,-0.156644
-0.156636164,-0.000539886,0.000249833,0.000253245,0.048414754,958.8059622394746,-0.156636
-0.156628163,-0.000539747,0.000249756,0.000253179,0.04843459,959.0653286019328,-0.156628
-0.156620162,-0.000539796,0.000249713,0.00025321,0.048518985,959.0305806,-0.15662
-0.156612161,-0.000539713,0.000249577,0.000253166,0.048663895,959.2732528,-0.156612
-0.15660416,-0.000539618,0.000249571,0.000253132,0.048598515,959.3977326142376,-0.156604
-0.15659616,-0.000539589,0.000249305,0.00025311,0.048969947,959.6887304940592,-0.156596
-0.156588159,-0.000539574,0.000249305,0.000253111,0.048950201,959.7028315063104,-0.156588
-0.156580158,-0.000539551,0.000249151,0.000253095,0.049163107,959.8801746741566,-0.15658
-0.156572157,-0.000539515,0.000249003,0.000253078,0.049351925,960.0652397872896,-0.156572
-0.156564156,-0.000539386,0.00024894,0.000253022,0.04935233,960.2935003166456,-0.156564
-0.156556156,-0.000539333,0.000248808,0.000252998,0.049506085,960.4856930108688,-0.156556
-0.156548155,-0.000539363,0.000248821,0.000253015,0.049504973,960.4315620197142,-0.156548
-0.156540154,-0.000539199,0.000248611,0.000252937,0.049701031,960.8485103613016,-0.15654
-0.156532153,-0.000539194,0.000248434,0.00025293,0.049958744,961.0222208775796,-0.156532
-0.156524152,-0.00053907,0.000248384,0.00025288,0.049940464,961.2300822325044,-0.156524
-0.156516152,-0.000539149,0.000248303,0.000252914,0.050115237,961.1997865170306,-0.156516
-0.156508151,-0.000539017,0.000248177,0.000252854,0.050207343,961.4943471,-0.156508
-0.15650015,-0.000538877,0.000248096,0.000252793,0.050227248,961.7542166051434,-0.1565
-0.156492149,-0.000538889,0.000248028,0.000252798,0.050335638,961.8019223643546,-0.156492
-0.156484148,-0.00053895,0.000247975,0.00025283,0.050449702,961.7644566254778,-0.156484
-0.156476148,-0.000538923,0.000247857,0.000252814,0.050609046,961.9133494,-0.156476
-0.156468147,-0.00053874,0.000247629,0.000252725,0.050824299,962.3770185316667,-0.156468
-0.156460146,-0.000538786,0.000247634,0.00025275,0.050845406,962.3064305032458,-0.15646
-0.156452145,-0.000538737,0.000247468,0.000252724,0.051060032,962.5300551198488,-0.156452
-0.156444144,-0.000538554,0.000247445,0.000252647,0.050959403,962.7924257667102,-0.156444
-0.156436144,-0.000538628,0.000247254,0.00025268,0.051294452,962.8698013102317,-0.156436
-0.156428143,-0.000538455,0.000247186,0.000252594,0.051282012,963.1728943742296,-0.156428
-0.156420142,-0.000538591,0.000247134,0.000252655,0.051455565,963.0390099783136,-0.15642
-0.156412141,-0.000538488,0.000246966,0.000252609,0.05163277,963.3328097,-0.156412
-0.15640414,-0.000538321,0.000246923,0.000252536,0.051577388,963.5962064624874,-0.156404
-0.15639614,-0.000538283,0.000246797,0.000252515,0.051740899,963.7672168110726,-0.156396
-0.156388139,-0.000538237,0.000246784,0.000252495,0.051727845,963.8407201,-0.156388
-0.156380138,-0.000538221,0.000246599,0.000252487,0.05199254,964.0339696442792,-0.15638
-0.156372137,-0.000538117,0.000246374,0.000252436,0.05226208,964.3889315,-0.156372
-0.156364136,-0.000537993,0.00024626,0.000252383,0.052342814,964.6588865172868,-0.156364
-0.156356136,-0.000538049,0.000246169,0.000252399,0.052528224,964.6760534,-0.156356
-0.156348135,-0.000537996,0.000246067,0.000252374,0.052645711,964.8436610256626,-0.156348
-0.156340134,-0.000537953,0.000245974,0.000252356,0.052753129,964.9877659827624,-0.15634
-0.156332133,-0.000537915,0.000245901,0.000252341,0.052834371,965.1051952,-0.156332
-0.156324132,-0.000537769,0.000245746,0.000252275,0.05296381,965.4459331668276,-0.156324
-0.156316132,-0.000537728,0.000245767,0.000252264,0.05289519,965.4752384177416,-0.156316
-0.156308131,-0.000537642,0.000245574,0.000252221,0.05313151,965.7754463732152,-0.156308
-0.15630013,-0.000537627,0.000245454,0.00025221,0.053306437,965.9118644705784,-0.1563
-0.156292129,-0.000537542,0.000245381,0.000252181,0.053346447,966.087046,-0.156292
-0.156284128,-0.000537493,0.000245154,0.000252147,0.053669809,966.3756276,-0.156284
-0.156276128,-0.000537436,0.000245107,0.000252128,0.053693219,966.4906773009612,-0.156276
-0.156268127,-0.000537317,0.000244962,0.00025207,0.053833452,966.7913524171704,-0.156268
-0.156260126,-0.000537201,0.000244898,0.000252015,0.053852137,967.0124660446444,-0.15626
-0.156252125,-0.000537148,0.00024478,0.000251995,0.053990088,967.1902626154796,-0.156252
