t,F_sc_best,F_sc
0,4.200579416343698e-06,4.200579416343698e-06
1,4.200579416343698e-06,4.200579416343698e-06
2,4.200579416343698e-06,4.200579416343698e-06
3,4.200579416343698e-06,4.200579416343698e-06
4,4.200579416343698e-06,4.200579416343698e-06
5,4.200579416343698e-06,4.200579416343698e-06
6,4.200579416343698e-06,4.200579416343698e-06
7,4.200579416343698e-06,4.200579416343698e-06
8,4.200579416343698e-06,4.200579416343698e-06
9,4.200579416343698e-06,4.200579416343698e-06
10,4.200579416343698e-06,4.200579416343698e-06
11,4.200579416343698e-06,4.200579416343698e-06
12,4.200579416343698e-06,4.200579416343698e-06
13,4.200579416343698e-06,4.200579416343698e-06
14,4.200579416343698e-06,4.200579416343698e-06
15,4.200579416343698e-06,4.200579416343698e-06
16,4.200579416343698e-06,4.200579416343698e-06
17,4.200579416343698e-06,4.200579416343698e-06
18,4.200579416343698e-06,4.200579416343698e-06
19,4.200579416343698e-06,4.200579416343698e-06
20,4.200579416343698e-06,4.200579416343698e-06
21,4.200579416343698e-06,4.200579416343698e-06
22,4.200579416343698e-06,4.200579416343698e-06
23,4.200579416343698e-06,4.200579416343698e-06
24,4.200579416343698e-06,4.200579416343698e-06
25,4.200579416343698e-06,4.200579416343698e-06
26,4.200579416343698e-06,4.200579416343698e-06
27,4.200579416343698e-06,4.200579416343698e-06
28,4.200579416343698e-06,4.200579416343698e-06
29,4.200579416343698e-06,4.200579416343698e-06
30,4.200579416343698e-06,4.200579416343698e-06
31,4.200579416343698e-06,4.200579416343698e-06
32,4.200579416343698e-06,4.200579416343698e-06
33,4.200579416343698e-06,4.200579416343698e-06
34,4.200579416343698e-06,4.200579416343698e-06
35,4.200579416343698e-06,4.200579416343698e-06
36,4.200579416343698e-06,4.204516855427758e-06
37,4.200579416343698e-06,4.200579416343698e-06
38,4.200579416343698e-06,4.200579416343698e-06
39,4.200579416343698e-06,4.200579416343698e-06
40,4.200579416343698e-06,4.200579416343698e-06
41,4.200579416343698e-06,4.200579416343698e-06
42,4.200579416343698e-06,4.200579416343698e-06
43,4.200579416343698e-06,4.200579416343698e-06
44,4.200579416343698e-06,4.200579416343698e-06
45,4.200579416343698e-06,4.200579416343698e-06
46,4.200579416343698e-06,4.200579416343698e-06
47,4.200579416343698e-06,4.200579416343698e-06
48,4.200579416343698e-06,4.200579416343698e-06
49,4.200579416343698e-06,4.200579416343698e-06
