slopeL,slopeH,F_slip,F_yield,fluxD,fluxHR,fluxLR
0.107070707,-0.192929293,0.000674002,0.114333528,-4.373170376,2.184500987,2.188669418
0.116161616,-0.185858586,0.000738176,0.045571708,-10.97171959,5.491586728,5.480132935
0.128282828,-0.17979798,0.00054626,0.025448729,-19.64734673,9.831262416,9.816084286
0.131313131,-0.178787879,0.000112865,0.023164019,-21.58520059,10.79087763,10.79432297
0.134343434,-0.177777778,0.000273699,0.02119532,-23.590113,11.79962201,11.790491
0.138383838,-0.176767677,0.000767274,0.019239162,-25.9886583,12.98022916,13.00842919
0.142424242,-0.175757576,0.000652405,0.017557777,-28.47740924,14.22556742,14.25184183
0.146464646,-0.174747475,0.0003531,0.016098175,-31.0594204,15.53746513,15.52195533
0.151515152,-0.173737374,4.14E-05,0.014664346,-34.09630503,17.04915068,17.04715437
0.156565657,-0.172727273,0.000101548,0.013424306,-37.24587191,18.62561045,18.62026153
0.161616162,-0.171717172,0.000118706,0.01234878,-40.48982925,20.24831329,20.24151601
0.166666667,-0.170707071,0.000285151,0.011414037,-43.80571075,21.89402276,21.91168803
0.175757576,-0.168686869,0.000878091,0.009977433,-50.11309154,25.02543034,25.08766118
0.182828283,-0.166666667,0.000864873,0.009009002,-55.50004018,27.78396154,27.71607862
0.186868687,-0.165656566,0.00079363,0.008572438,-58.32646498,29.13050079,29.19596418
0.18989899,-0.164646465,0.000118115,0.008241487,-60.66866255,30.32926423,30.33939832
0.192929293,-0.163636364,1.01E-05,0.007943942,-62.94104692,31.47007605,31.47097087
0.195959596,-0.162626263,0.000436492,0.007676199,-65.13640193,32.54809683,32.58830509
