t,F_t,F_(t),abs(fluxD),fluxHR,fluxLR,abs(fluxD)_(t),fluxHR_(t),fluxLR_(t)
0,0.0025338356240742184,0.0025338356240742184,22786.033072938386,12256.686032857331,10529.347040111861,22786.033072938386,12256.686032857331,10529.347040111861
1,0.002579516927279675,0.0025338356240742184,11750.367214013299,6124.978794674404,5625.388419319745,22786.033072938386,12256.686032857331,10529.347040111861
2,0.0024316556226448133,0.0024316556226448133,14701.54015432758,7748.297525436392,6953.242629013068,14701.54015432758,7748.297525436392,6953.242629013068
3,0.003048820746286495,0.0024316556226448133,18075.766014137713,9775.620877203655,8300.145136958592,14701.54015432758,7748.297525436392,6953.242629013068
4,0.0023934644303811223,0.0023934644303811223,19889.79420707212,10615.433486277492,9274.360720847872,19889.79420707212,10615.433486277492,9274.360720847872
5,0.002474198239875479,0.0023934644303811223,16586.51022675255,8809.026056668255,7777.484170054755,19889.79420707212,10615.433486277492,9274.360720847872
6,0.0026540699415645115,0.0023934644303811223,11149.79551253462,5801.179925000099,5348.61558763768,19889.79420707212,10615.433486277492,9274.360720847872
7,0.0024538588037959193,0.0023934644303811223,16925.343447810475,8991.648660340492,7933.694787536944,19889.79420707212,10615.433486277492,9274.360720847872
8,0.002452761985533244,0.0023934644303811223,19782.663649961294,10573.48363065788,9209.180019435313,19889.79420707212,10615.433486277492,9274.360720847872
9,0.0027755758149079607,0.0023934644303811223,13715.195101004181,7280.946327927639,6434.248773246429,19889.79420707212,10615.433486277492,9274.360720847872
10,0.0026647774688833394,0.0023934644303811223,24746.899616912735,13380.058631591273,11366.840985294439,19889.79420707212,10615.433486277492,9274.360720847872
11,0.0031852854928450945,0.0023934644303811223,30594.92110192377,16786.322835097242,13808.598266915425,19889.79420707212,10615.433486277492,9274.360720847872
12,0.002614748821635712,0.0023934644303811223,24043.12341503153,12975.728584714452,11067.394830378653,19889.79420707212,10615.433486277492,9274.360720847872
13,0.00333930634745054,0.0023934644303811223,8116.292893199396,4188.7865872422335,3927.5063059211097,19889.79420707212,10615.433486277492,9274.360720847872
14,0.0027119102017974742,0.0023934644303811223,15660.023844967916,8353.039985519783,7306.983859524771,19889.79420707212,10615.433486277492,9274.360720847872
15,0.0029281494845543998,0.0023934644303811223,12620.255044769903,6698.537672024286,5921.717372843552,19889.79420707212,10615.433486277492,9274.360720847872
16,0.0026270678588828818,0.0023934644303811223,13321.013784527313,7025.399057618524,6295.614726817577,19889.79420707212,10615.433486277492,9274.360720847872
17,0.0023924479136221213,0.0023924479136221213,14185.218119548925,7448.669313798178,6736.548805715051,14185.218119548925,7448.669313798178,6736.548805715051
18,0.0024700852907705434,0.0023924479136221213,15047.333943190752,7951.567593736108,7095.7663495646775,14185.218119548925,7448.669313798178,6736.548805715051
19,0.002421053285398111,0.0023924479136221213,14727.833467287011,7760.0891718734565,6967.744295464581,14185.218119548925,7448.669313798178,6736.548805715051
20,0.0023625297646718176,0.0023625297646718176,18875.957231271255,10046.151770022363,8829.805461238582,18875.957231271255,10046.151770022363,8829.805461238582
21,0.002492613428909552,0.0023625297646718176,12632.413203477132,6602.48547812974,6029.927725442147,18875.957231271255,10046.151770022363,8829.805461238582
22,0.002567945846120238,0.0023625297646718176,21051.99548741427,11308.160821734527,9743.834665838818,18875.957231271255,10046.151770022363,8829.805461238582
23,0.0032064905228777656,0.0023625297646718176,8530.494571663905,4406.922362009696,4123.572209730963,18875.957231271255,10046.151770022363,8829.805461238582
24,0.004384458799895545,0.0023625297646718176,10575.02466177824,5762.847410922186,4812.177250966575,18875.957231271255,10046.151770022363,8829.805461238582
25,0.0025990947735023244,0.0023625297646718176,23812.012204260798,12843.245359864144,10968.766844398524,18875.957231271255,10046.151770022363,8829.805461238582
26,0.00298319589754827,0.0023625297646718176,22328.184062839893,12127.970219103547,10200.213843735204,18875.957231271255,10046.151770022363,8829.805461238582
27,0.0025815175331379463,0.0023625297646718176,20820.86654508239,11184.11801961586,9636.748525565861,18875.957231271255,10046.151770022363,8829.805461238582
28,0.0023430479557046955,0.0023430479557046955,15826.522595954855,8350.549322506762,7475.973273561845,15826.522595954855,8350.549322506762,7475.973273561845
29,0.0027972658925300214,0.0023430479557046955,10231.165516009787,5308.013416946778,4923.152099035797,15826.522595954855,8350.549322506762,7475.973273561845
30,0.003255046408910769,0.0023430479557046955,17746.288685427426,9635.677639787464,8110.6110456805545,15826.522595954855,8350.549322506762,7475.973273561845
31,0.0030146747673828393,0.0023430479557046955,9512.854816699779,4943.483106554144,4569.371710088744,15826.522595954855,8350.549322506762,7475.973273561845
32,0.0024973324373028607,0.0023430479557046955,12577.697787634796,6572.806205869441,6004.891581881282,15826.522595954855,8350.549322506762,7475.973273561845
33,0.002619593837862689,0.0023430479557046955,14701.594766165887,7796.500190517909,6905.094575688556,15826.522595954855,8350.549322506762,7475.973273561845
34,0.0024644202183774534,0.0023430479557046955,16952.45661875652,9009.54615505325,7942.910463599961,15826.522595954855,8350.549322506762,7475.973273561845
35,0.0026478015070249255,0.0023430479557046955,21826.205688817514,11759.101164603526,10067.104524318653,15826.522595954855,8350.549322506762,7475.973273561845
36,0.0027144255277939504,0.0023430479557046955,22011.107467324648,11880.100028000314,10131.007439314213,15826.522595954855,8350.549322506762,7475.973273561845
37,0.0023690884957662437,0.0023430479557046955,19122.438769841305,10184.306929329374,8938.131840492526,15826.522595954855,8350.549322506762,7475.973273561845
38,0.0024719434364991306,0.0023430479557046955,21675.828119279613,11625.013780261237,10050.814339161967,15826.522595954855,8350.549322506762,7475.973273561845
39,0.0026591926723225283,0.0023430479557046955,11215.267071134207,5840.222161505917,5375.044909587006,15826.522595954855,8350.549322506762,7475.973273561845
40,0.0030425525939033605,0.0023430479557046955,12884.527924518043,6870.030467119628,6014.497457552447,15826.522595954855,8350.549322506762,7475.973273561845
41,0.002342554121032369,0.002342554121032369,15856.385555578221,8367.017280314816,7489.368275185159,15856.385555578221,8367.017280314816,7489.368275185159
